Source,Name,RSS feed URLs (where available),Type,Associated Twitter Handle,Associated Publisher,Text Aliases,Tags
https://www.tvnz.co.nz/one-news,1 NEWS,,News Source,@1NewsNZ,1 NEWS,,Referring|International|Oceania
https://7days.ru,7DAYS,,News Source,@7days_ru,7DAYS,,Referring|International|Europe
https://www.aamulehti.fi,Aamulehti,,News Source,@aamulehti,Aamulehti,,Referring|International|Europe
https://abcnews.go.com/,ABC News,,News Source,@ABC,ABC News,,left-center|Referring|International|NAmerica
https://www.aberdeennews.com,Aberdeen News,,News Source,@AberdeenNews,Aberdeen News,,Referring|International|NAmerica
https://www.ad.nl,AD,,News Source,@ADnl,AD,,Referring|International|Europe
https://www.adnkronos.com,Adnkronos,,News Source,@Adnkronos,Adnkronos,,Referring|Wire|Europe
https://africanmanager.com,African Manager,,News Source,@AfricanManager,African Manager,,Referring|International|MENA
https://www.afp.com/en,Agence France Presse,,News Source,@AFP,Agence France Presse,,Referring|International|Europe
https://www.afp.com/,Agence France Presse,,News Source,@AFP,Agence France Presse,,Referring|Wire|Europe
https://www.agi.it,AGI,,News Source,@Agenzia_Italia,AGI,,Referring|Wire|Europe
https://www.alarab.com,Al Arab,,News Source,@alarabqatar,Al Arab,,Referring|International|Europe
https://www.alarabiya.net,Al Arabiya,,News Source,@AlArabiya,Al Arabiya,,Referring|International|MENA
https://www.alaraby.co.uk,Al Araby Al Jadeed,,News Source,@alaraby_ar,Al Araby Al Jadeed,,Referring|International|Europe
https://www.albawaba.com/,Al Bawaba,,News Source,@AlBawabaEnglish,Al Bawaba,,Referring|International|MENA
https://alghad.com,Al Ghad,,News Source,@AlghadNews,Al Ghad,,Referring|International|MENA
https://www.aljazeera.com/,Al Jazeera,,News Source,@AJEnglish,Al Jazeera, ,left-center|Referring|International|MENA
http://almashareq.com,Al Shorfa,,News Source,@AlMashareqEN,Al Shorfa,,Referring|International|MENA
http://english.ahram.org.eg/,Al-Ahram ,,News Source,@ahramonline,Al-Ahram ,,Referring|International|MENA
https://www.al-akhbar.com,Al-Akhbar,,News Source,@AlakhbarNews,Al-Akhbar,,Referring|International|MENA
http://aljazeerah.info/,Al-Jazeerah,,News Source,,Al-Jazeerah,,Referring|International|NAmerica
https://www.al-monitor.com,Al-Monitor,,News Source,@AlMonitor,Al-Monitor,,Referring|International|NAmerica
http://www.aps.dz,Algeria Press Service,,News Source,@APS_DZ,Algeria Press Service,,Referring|Wire|MENA
https://allafrica.com,All Africa,,News Source,@allafrica,All Africa,,Referring|International|Africa
https://www.alternet.org,Alternet,,News Source,@AlterNet,Alternet, ,left|Referring|International|NAmerica
https://www.ambito.com,Ambito Financiero,,News Source,@Ambitocom,Ambito Financiero,,Referring|International|LAmerica
https://www.americanisraelite.com/,American Israelite,,News Source,@AmIsraelite,American Israelite,,Referring|Jewish|NAmerica
https://www.adn.com,Anchorage Daily News,,News Source,@adndotcom,Anchorage Daily News,,Referring|International|NAmerica
https://www.aa.com.tr,Andalou Agency,,News Source,@anadoluagency,Andalou Agency,,Referring|International|MENA
https://www.anp.nl,ANP Infonet,,News Source,@anp,ANP Infonet,,Referring|International|Europe
http://www.ansa.it,ANSA,,News Source,@Agenzia_Ansa,ANSA,,Referring|International|Europe
https://answersingenesis.org/answers/magazine/,Answers Magazine,,News Source,@AiG,Answers Magazine,,Referring|Christian|NAmerica
https://en.antaranews.com,Antara News,,News Source,@antaranews,Antara News,,Referring|International|Asia
https://www.antiwar.com/,Antiwar Blog,,News Source,@antiwarcom,Antiwar Blog,,Referring|International|NAmerica
https://www.aporrea.org,Aporrea,,News Source,@aporrea,Aporrea,,Referring|International|LAmerica
https://www.appeal-democrat.com,Appeal Democrat,,News Source,@appealdemocrat,Appeal Democrat,,Referring|International|NAmerica
http://www.arabnews.com,Arab News,,News Source,@arabnews,Arab News,,Referring|International|MENA
https://www.artforum.com,Art Forum,,News Source,@Artforum,Art Forum,,Referring|International|NAmerica
https://ag.org,Assemblies of God News,,News Source,@AGNewsTeam,Assemblies of God News,,Referring|Christian|NAmerica
https://atlantajewishtimes.timesofisrael.com/,Atlanta Jewish Times,,News Source,@AtlJewishTimes,Atlanta Jewish Times,,Referring|Jewish|NAmerica
https://gellerreport.com,Atlas Shrugs/Geller Report,,News Source,@PamelaGeller,Atlas Shrugs/Geller Report,,Referring|International|NAmerica
https://www.keystone-sda.ch/,ATS Suisse,,News Source,@keystone_ats,ATS Suisse,,Referring|Wire|Europe
https://www.statesman.com,Austin American Statesman,,News Source,@statesman,Austin American Statesman,,Referring|International|NAmerica
https://www.afr.com,Australian Finance News,,News Source,@FinancialReview,Australian Finance News,,Referring|International|Oceania
https://www.axios.com,Axios,,News Source,@axios,Axios,,center|Referring|International|NAmerica
http://axisoflogic.com,Axis of Logic,,News Source,,Axis of Logic,,Referring|International|NAmerica
https://www.bna.bh/,Bahrain News Agency,,News Source,@bna_en,Bahrain News Agency,,Referring|Wire|MENA
https://jewishtimes.com/,Baltimore Jewish Times,,News Source,@jewishtimes,Baltimore Jewish Times,,Referring|Jewish|NAmerica
http://www.bpnews.net,Baptist Press,,News Source,@BaptistPress,Baptist Press,,Referring|Christian|NAmerica
https://www.bbc.com/news/,BBC News,,News Source,@BBCWorld,BBC News, ,left-center|Referring|International|Europe
https://www.bharian.com.my,Berita Harian Malaysia,,News Source,@bharianmy,Berita Harian Malaysia,,Referring|International|Asia
https://www.morgenpost.de,Berliner Morgenpost,,News Source,@morgenpost,Berliner Morgenpost,,Referring|International|Europe
http://bernama.com/en/,Bernama,,News Source,@bernamadotcom,Bernama,,Referring|International|Asia
https://www.bloomberg.com/,Bloomberg,,News Source,@Bloomberg,Bloomberg,,center|Referring|Wire|NAmerica
https://www.bndestem.nl,BN/DeStem,,News Source,@BNDeStem,BN/DeStem,,Referring|International|NAmerica
http://bostonglobe.com,Boston Globe,,News Source,@BostonGlobe,Boston Globe, ,left-center|Referring|International|NAmerica
https://www.bd.nl,Brabants Dagblad,,News Source,@brabantsdagblad,Brabants Dagblad,,Referring|International|NAmerica
https://www.breakingisraelnews.com,Breaking Israel News,,News Source,@BINAlerts,Breaking Israel News,,Referring|Christian|MENA
https://www.breakingnews.ie,Breaking News,,News Source,@breakingnewsie,Breaking News,,Referring|International|Europe
https://briarpatchmagazine.com,Briarpatch Magazine,,News Source,@briarpatchmag,Briarpatch Magazine,,Referring|International|NAmerica
https://www.breitbart.com,Brietbart News,,News Source,@BreitbartNews,Brietbart News,,right|Referring|International|NAmerica
http://buffalonews.com,Buffalo News,,News Source,@TheBuffaloNews,Buffalo News,,Referring|International|NAmerica
https://www.buzzfeed.com/,BuzzFeed,,News Source,@BuzzFeed,BuzzFeed,,left-center|Referring|International|NAmerica
https://calgaryherald.com,Calgary Herald,,News Source,@calgaryherald,Calgary Herald,,Referring|International|NAmerica
https://www.capebretonpost.com,Cape Breton Post,,News Source,@capebretonpost,Cape Breton Post,,Referring|International|NAmerica
http://www.caretas.com.pe/,Caretas,,News Source,@Caretas,Caretas,,Referring|International|LAmerica
http://www.cartacapital.com.br,CartaCapital,,News Source,@cartacapital,CartaCapital,,Referring|International|LAmerica
https://www.cbsnews.com/,CBS News,,News Source,@CBSNews,CBS News,,left-center|Referring|International|NAmerica
http://www.charentelibre.fr,Charente Libre,,News Source,@charentelibre,Charente Libre,,Referring|International|Europe
https://www.charismamag.com,Charisma Magazine,,News Source,@charismamag,Charisma Magazine,,Referring|Christian|NAmerica
https://www.chicagojewishnews.com,Chicago Jewish News,,News Source,,Chicago Jewish News,,Referring|Jewish|NAmerica
https://chicago.suntimes.com,Chicago Sun-Times,,News Source,@Suntimes,Chicago Sun-Times, ,left-center|Referring|International|NAmerica
https://www.chicagotribune.com,Chicago Tribune,,News Source,@chicagotribune,Chicago Tribune, ,center|Referring|International|NAmerica
http://chinadaily.com.cn,China Daily,,News Source,@ChinaDailyUSA,China Daily,,Referring|International|Asia
http://www.ecns.cn/,China News Service,,News Source,@Echinanews,China News Service,,Referring|Wire|Asia
https://www1.cbn.com,Christian Broadcast News,,News Source,@CBNNews,Christian Broadcast News,,Referring|Christian|NAmerica
https://www.christiancentury.org,Christian Century,,News Source,@ChristianCent,Christian Century,,Referring|Christian|NAmerica
